_,station,arr,dep,dwell,runtime,train
1,北海,-,15:50,-,0:00,D 3732
2,合浦,16:02,16:08,6,0:12,D 3732
3,钦州东,16:30,16:32,2,0:40,D 3732
4,南宁东,17:10,17:31,21,1:20,D 3732
5,宾阳,17:56,17:58,2,2:06,D 3732
6,桂平,18:34,18:36,2,2:44,D 3732
7,藤县,19:05,19:07,2,3:15,D 3732
8,梧州南,19:19,19:25,6,3:29,D 3732
9,郁南,19:37,19:39,2,3:47,D 3732
10,云浮东,20:03,20:05,2,4:13,D 3732
11,三水南,20:34,20:36,2,4:44,D 3732
12,广州,21:07,-,-,5:17,D 3732
1,成都,-,19:41,-,0:00,K 194
2,遂宁,21:15,21:19,4,1:34,K 194
3,潼南,22:03,22:14,11,2:22,K 194
4,合川,22:47,22:58,11,3:06,K 194
5,重庆北,23:38,0:05,27,3:57,K 194
6,铜仁,6:51,7:00,9,11:10,K 194
7,怀化南,9:02,9:22,20,13:21,K 194
8,衡阳,13:36,13:42,6,17:55,K 194
9,耒阳,14:27,14:30,3,18:46,K 194
10,郴州,15:28,15:34,6,19:47,K 194
11,坪石,16:20,16:52,32,20:39,K 194
12,乐昌,17:26,17:41,15,21:45,K 194
13,韶关东,18:16,18:28,12,22:35,K 194
14,广州,21:10,-,-,25:29:00,K 194
1,广州,-,21:13,-,0:00,K 4210
2,信阳,15:35,-,-,18:22,K 4210
1,深圳,-,19:18,-,0:00,K 9276
2,东莞,20:11,20:14,3,0:53,K 9276
3,广州,21:07,21:19,12,1:49,K 9276
4,韶关东,23:41,23:46,5,4:23,K 9276
5,衡阳,3:09,3:14,5,7:51,K 9276
6,长沙,5:31,5:39,8,10:13,K 9276
7,宁乡,6:18,6:21,3,11:00,K 9276
8,益阳,6:49,6:57,8,11:31,K 9276
9,常德,8:02,-,-,12:44,K 9276
1,乌鲁木齐,-,19:45,-,0:00,Z 136
2,吐鲁番北,21:07,21:09,2,1:22,Z 136
3,鄯善北,21:53,21:56,3,2:08,Z 136
4,哈密,23:58,0:04,6,4:13,Z 136
5,柳园,2:51,2:59,8,7:06,Z 136
6,嘉峪关,5:46,5:55,9,10:01,Z 136
7,张掖,7:53,7:59,6,12:08,Z 136
8,武威,10:14,10:20,6,14:29,Z 136
9,兰州,13:20,13:35,15,17:35,Z 136
10,陇西,15:40,15:45,5,19:55,Z 136
11,甘谷,16:34,16:37,3,20:49,Z 136
12,天水,17:56,18:03,7,22:11,Z 136
13,宝鸡,20:48,20:56,8,25:03:00,Z 136
14,西安,22:24,22:34,10,26:39:00,Z 136
15,洛阳,3:09,3:15,6,31:24:00,Z 136
16,郑州,4:39,4:47,8,32:54:00,Z 136
17,信阳,7:13,7:16,3,35:28:00,Z 136
18,武昌,9:31,9:52,21,37:46:00,Z 136
19,长沙,13:16,13:22,6,41:31:00,Z 136
20,衡阳,15:21,15:25,4,43:36:00,Z 136
21,郴州,17:03,17:09,6,45:18:00,Z 136
22,韶关东,18:49,18:53,4,47:04:00,Z 136
23,广州,21:32,-,-,49:47:00,Z 136
1,深圳,-,20:15,-,0:00,C 7108
2,平湖,20:26,20:28,2,0:11,C 7108
3,常平,20:44,20:46,2,0:29,C 7108
4,东莞,20:56,20:58,2,0:41,C 7108
5,广州东,21:28,21:41,13,1:13,C 7108
6,广州,21:51,-,-,1:36,C 7108
1,广州,-,21:58,-,0:00,Z 122
2,长沙,5:21,5:27,6,7:23,Z 122
3,岳阳,6:45,6:48,3,8:47,Z 122
4,武昌,8:56,9:16,20,10:58,Z 122
5,襄州,12:08,12:18,10,14:10,Z 122
6,安康,16:09,16:15,6,18:11,Z 122
7,万源,18:09,18:11,2,20:11,Z 122
8,达州,19:54,20:07,13,21:56,Z 122
9,南充,21:32,21:36,4,23:34,Z 122
10,遂宁,22:13,22:21,8,24:15:00,Z 122
11,成都,23:59,-,-,26:01:00,Z 122
1,深圳西,-,19:28,-,0:00,K 9294
2,广州,21:44,22:04,20,2:16,K 9294
3,韶关东,0:26,0:32,6,4:58,K 9294
4,衡阳,3:55,4:01,6,8:27,K 9294
5,安仁,5:10,5:13,3,9:42,K 9294
6,攸县南,5:24,5:27,3,9:56,K 9294
7,茶陵南,5:43,5:46,3,10:15,K 9294
8,炎陵,6:21,-,-,10:53,K 9294
1,广州,-,22:06,-,0:00,C 7109
2,广州东,22:16,22:19,3,0:10,C 7109
3,东莞,22:45,22:47,2,0:39,C 7109
4,常平,22:57,22:59,2,0:51,C 7109
5,樟木头,23:06,23:08,2,1:00,C 7109
6,深圳,23:32,-,-,1:26,C 7109
1,广州,-,22:10,-,0:00,K 202
2,韶关东,0:32,0:38,6,2:22,K 202
3,衡阳,4:01,4:07,6,5:51,K 202
4,娄底,7:03,7:10,7,8:53,K 202
5,新化,8:22,8:25,3,10:12,K 202
6,怀化,11:43,11:55,12,13:33,K 202
7,铜仁,13:17,13:23,6,15:07,K 202
8,秀山,14:40,14:46,6,16:30,K 202
9,黔江,16:03,16:07,4,17:53,K 202
10,彭水,16:52,16:56,4,18:42,K 202
11,涪陵,18:25,18:40,15,20:15,K 202
12,重庆北,19:59,-,-,21:49,K 202
1,惠州,-,19:55,-,0:00,K 437
2,东莞东,20:38,20:48,10,0:43,K 437
3,广州,21:57,22:17,20,2:02,K 437
4,韶关东,0:38,0:44,6,4:43,K 437
5,衡阳,4:07,4:13,6,8:12,K 437
6,长沙,6:24,6:33,9,10:29,K 437
7,汨罗,7:20,7:23,3,11:25,K 437
8,岳阳,8:16,8:34,18,12:21,K 437
9,赤壁,9:53,9:56,3,13:58,K 437
10,咸宁,10:23,10:26,3,14:28,K 437
11,武昌,11:28,-,-,15:33,K 437
1,广州,-,22:36,-,0:00,K 4232
2,娄底,9:21,9:30,9,10:45,K 4232
3,怀化,15:21,15:46,25,16:45,K 4232
4,酉阳,19:22,19:28,6,20:46,K 4232
5,黔江,20:20,20:26,6,21:44,K 4232
6,彭水,21:11,21:16,5,22:35,K 4232
7,重庆北,0:28,1:00,32,25:52:00,K 4232
8,广安,2:27,2:32,5,27:51:00,K 4232
9,渠县,3:06,3:12,6,28:30:00,K 4232
10,达州,4:05,-,-,29:29:00,K 4232
1,广州,-,22:42,-,0:00,K 6526
2,衡阳,5:23,5:29,6,6:41,K 6526
3,湘潭,7:56,7:57,1,9:14,K 6526
4,湘乡,8:25,8:31,6,9:43,K 6526
5,娄底,9:13,-,-,10:31,K 6526
1,深圳西,-,20:35,-,0:00,K 9284
2,广州,22:42,23:04,22,2:07,K 9284
3,衡阳,4:51,4:57,6,8:16,K 9284
4,湘乡,7:27,7:31,4,10:52,K 9284
5,娄底,8:13,-,-,11:38,K 9284
1,深圳,-,21:00,-,0:00,K 9218
2,东莞,21:53,21:58,5,0:53,K 9218
3,广州,22:50,23:10,20,1:50,K 9218
4,韶关东,1:28,1:34,6,4:28,K 9218
5,衡阳,5:01,5:07,6,8:01,K 9218
6,长沙,7:15,-,-,10:15,K 9218
1,深圳西,-,21:05,-,0:00,K 9126
2,东莞,22:17,22:20,3,1:12,K 9126
3,广州,23:12,23:32,20,2:07,K 9126
4,衡阳,5:10,5:50,40,8:05,K 9126
5,祁东,6:41,6:46,5,9:36,K 9126
6,祁阳,7:05,7:19,14,10:00,K 9126
7,永州,7:48,-,-,10:43,K 9126
1,深圳,-,21:32,-,0:00,K 9122
2,广州,23:18,23:38,20,1:46,K 9122
3,衡阳,5:16,-,-,7:44,K 9122
1,深圳东,-,21:52,-,0:00,K 9264
2,广州,23:31,23:50,19,1:39,K 9264
3,郴州,3:49,3:55,6,5:57,K 9264
4,衡阳,5:37,5:43,6,7:45,K 9264
5,洞口,8:13,8:18,5,10:21,K 9264
6,怀化,9:38,10:00,22,11:46,K 9264
7,铜仁,11:22,11:28,6,13:30,K 9264
8,松桃,12:32,-,-,14:40,K 9264
1,深圳东,-,22:16,-,0:00,Z 8022
2,广州东,23:40,0:08,28,1:24,Z 8022
3,韶关东,2:57,3:03,6,4:41,Z 8022
4,衡阳,6:36,6:42,6,8:20,Z 8022
5,长沙,8:58,-,-,10:42,Z 8022
1,南昌,-,14:48,-,0:00,K 441
2,向塘,15:10,15:13,3,0:22,K 441
3,樟树东,16:05,16:08,3,1:17,K 441
4,新干,16:31,16:34,3,1:43,K 441
5,吉安,17:26,17:29,3,2:38,K 441
6,井冈山,18:53,18:59,6,4:05,K 441
7,龙市,19:23,19:34,11,4:35,K 441
8,茶陵南,20:22,20:25,3,5:34,K 441
9,衡阳,21:57,22:27,30,7:09,K 441
10,郴州,0:07,0:21,14,9:19,K 441
11,广州东,4:52,-,-,14:04,K 441
1,大同,-,14:35,-,0:00,K 731
2,怀仁,15:11,15:13,2,0:36,K 731
3,岱岳,15:43,15:46,3,1:08,K 731
4,朔州,16:20,16:24,4,1:45,K 731
5,宁武,16:56,16:59,3,2:21,K 731
6,轩岗,17:37,17:39,2,3:02,K 731
7,原平,18:20,18:25,5,3:45,K 731
8,忻州,18:49,18:52,3,4:14,K 731
9,太原,20:08,20:49,41,5:33,K 731
10,阳泉北,21:52,22:05,13,7:17,K 731
11,石家庄北,23:10,23:28,18,8:35,K 731
12,辛集,0:25,0:29,4,9:50,K 731
13,衡水,1:04,1:09,5,10:29,K 731
14,聊城,3:13,3:19,6,12:38,K 731
15,菏泽,4:54,4:58,4,14:19,K 731
16,商丘南,6:13,6:16,3,15:38,K 731
17,亳州,6:57,7:01,4,16:22,K 731
18,阜阳,8:10,8:33,23,17:35,K 731
19,潢川,9:51,10:04,13,19:16,K 731
20,光山,10:19,10:21,2,19:44,K 731
21,新县,10:49,10:51,2,20:14,K 731
22,麻城,11:32,11:38,6,20:57,K 731
23,黄州,12:18,12:20,2,21:43,K 731
24,九江,14:07,14:13,6,23:32,K 731
25,南昌,15:34,15:46,12,24:59:00,K 731
26,吉安,18:26,18:30,4,27:51:00,K 731
27,泰和,18:51,18:54,3,28:16:00,K 731
28,兴国,19:45,19:48,3,29:10:00,K 731
29,赣州,20:48,20:54,6,30:13:00,K 731
30,信丰,21:45,21:51,6,31:10:00,K 731
31,龙南,22:31,22:34,3,31:56:00,K 731
32,惠州,3:03,3:06,3,36:28:00,K 731
33,东莞东,3:52,3:58,6,37:17:00,K 731
34,广州东,5:10,-,-,38:35:00,K 731
1,广州东,-,6:01,-,0:00,C 7001
2,东莞,6:27,6:29,2,0:26,C 7001
3,常平,6:39,6:41,2,0:38,C 7001
4,樟木头,6:48,6:50,2,0:47,C 7001
5,深圳,7:13,-,-,1:12,C 7001
1,厦门北,-,18:29,-,0:00,K 298
2,龙岩,20:46,21:09,23,2:17,K 298
3,永定,22:17,22:20,3,3:48,K 298
4,大埔,23:12,23:14,2,4:43,K 298
5,梅州,0:09,0:17,8,5:40,K 298
6,兴宁,1:04,1:08,4,6:35,K 298
7,龙川,2:01,2:18,17,7:32,K 298
8,河源,3:15,3:18,3,8:46,K 298
9,惠州,4:11,4:14,3,9:42,K 298
10,东莞东,4:59,5:05,6,10:30,K 298
11,广州东,6:05,-,-,11:36,K 298
1,广州东,-,6:11,-,0:00,C 7011
2,东莞,6:37,6:39,2,0:26,C 7011
3,常平,6:49,6:55,6,0:38,C 7011
4,樟木头,7:02,7:04,2,0:51,C 7011
5,平湖,7:15,7:17,2,1:04,C 7011
6,深圳,7:31,-,-,1:20,C 7011
1,广州东,-,6:20,-,0:00,D 7145
2,东莞南,7:05,7:07,2,0:45,D 7145
3,深圳北,7:29,7:36,7,1:09,D 7145
4,深圳坪山,7:53,7:55,2,1:33,D 7145
5,陆丰,8:38,8:40,2,2:18,D 7145
6,普宁,9:00,9:02,2,2:40,D 7145
7,潮汕,9:22,9:25,3,3:02,D 7145
8,汕头,9:50,-,-,3:30,D 7145
1,广州东,-,6:37,-,0:00,K 675
2,东莞东,7:33,7:39,6,0:56,K 675
3,惠州,8:23,8:26,3,1:46,K 675
4,河源,9:20,9:23,3,2:43,K 675
5,龙川,10:17,10:20,3,3:40,K 675
6,定南,11:39,11:42,3,5:02,K 675
7,信丰,12:36,12:39,3,5:59,K 675
8,赣州,13:22,13:26,4,6:45,K 675
9,吉安,15:19,15:23,4,8:42,K 675
10,向塘,17:20,17:57,37,10:43,K 675
11,南昌,18:20,18:38,18,11:43,K 675
12,九江,20:07,20:23,16,13:30,K 675
13,池州,23:07,23:10,3,16:30,K 675
14,铜陵,0:14,0:20,6,17:37,K 675
15,芜湖,2:22,2:42,20,19:45,K 675
16,合肥,4:10,4:25,15,21:33,K 675
17,蚌埠,7:15,7:24,9,24:38:00,K 675
18,固镇,7:55,7:59,4,25:18:00,K 675
19,徐州,9:25,-,-,26:48:00,K 675
1,广州东,-,6:42,-,0:00,C 7119
2,东莞,7:08,7:10,2,0:26,C 7119
3,常平,7:20,7:22,2,0:38,C 7119
4,樟木头,7:29,7:31,2,0:47,C 7119
5,深圳,7:56,-,-,1:14,C 7119
1,广州东,-,6:51,-,0:00,C 7035
2,东莞,7:17,7:19,2,0:26,C 7035
3,常平,7:29,7:31,2,0:38,C 7035
4,樟木头,7:38,7:40,2,0:47,C 7035
5,平湖,7:51,7:53,2,1:00,C 7035
6,深圳,8:07,-,-,1:16,C 7035
1,上饶,-,16:50,-,0:00,K 793
2,横峰,17:17,17:26,9,0:27,K 793
3,弋阳,17:39,17:43,4,0:49,K 793
4,贵溪,18:02,18:05,3,1:12,K 793
5,鹰潭,18:23,18:29,6,1:33,K 793
6,东乡,18:56,19:01,5,2:06,K 793
7,进贤,19:27,19:37,10,2:37,K 793
8,吉安,22:04,22:10,6,5:14,K 793
9,兴国,23:19,23:22,3,6:29,K 793
10,赣州,0:11,0:17,6,7:21,K 793
11,惠州,5:05,5:09,4,12:15,K 793
12,东莞东,5:52,5:58,6,13:02,K 793
13,广州东,6:58,-,-,14:08,K 793
1,南昌,-,18:30,-,0:00,T 171
2,丰城,19:19,19:24,5,0:49,T 171
3,樟树,19:40,19:44,4,1:10,T 171
4,新余,20:24,20:28,4,1:54,T 171
5,分宜,20:47,20:50,3,2:17,T 171
6,宜春,21:06,21:10,4,2:36,T 171
7,萍乡,21:49,21:55,6,3:19,T 171
8,醴陵,22:28,22:33,5,3:58,T 171
9,衡阳,0:39,0:44,5,6:09,T 171
10,郴州,2:22,2:32,10,7:52,T 171
11,韶关东,4:15,4:21,6,9:45,T 171
12,广州东,6:59,-,-,12:29,T 171
1,广州东,-,7:00,-,0:00,C 6709
2,新塘南,7:22,7:24,2,0:22,C 6709
3,中堂,7:29,7:30,1,0:29,C 6709
4,望牛墩,7:35,7:36,1,0:35,C 6709
5,东莞西,7:40,7:42,2,0:40,C 6709
6,洪梅,7:45,7:47,2,0:45,C 6709
7,东莞港,7:53,7:55,2,0:53,C 6709
8,厚街,7:59,8:01,2,0:59,C 6709
9,虎门北,8:06,8:07,1,1:06,C 6709
10,虎门东,8:12,8:13,1,1:12,C 6709
11,长安西,8:19,8:21,2,1:19,C 6709
12,长安,8:25,8:26,1,1:25,C 6709
13,沙井西,8:32,8:34,2,1:32,C 6709
14,福海西,8:38,8:40,2,1:38,C 6709
15,深圳机场北,8:44,8:45,1,1:44,C 6709
16,深圳机场,8:50,-,-,1:50,C 6709
1,广州东,-,7:03,-,0:00,D 7113
2,东莞,7:29,7:31,2,0:26,D 7113
3,东莞南,7:54,7:56,2,0:51,D 7113
4,深圳北,8:18,8:26,8,1:15,D 7113
5,惠州南,8:48,8:50,2,1:45,D 7113
6,汕尾,9:19,9:21,2,2:16,D 7113
7,潮阳,9:57,9:59,2,2:54,D 7113
8,潮汕,10:13,10:19,6,3:10,D 7113
9,汕头,10:44,-,-,3:41,D 7113
1,广州东,-,7:11,-,0:00,C 7045
2,东莞,7:37,7:39,2,0:26,C 7045
3,樟木头,7:53,7:55,2,0:42,C 7045
4,深圳,8:18,-,-,1:07,C 7045
1,广州东,-,7:20,-,0:00,T 8379
2,东莞东,8:20,8:26,6,1:00,T 8379
3,惠州,9:10,9:14,4,1:50,T 8379
4,河源,10:07,10:10,3,2:47,T 8379
5,龙川,11:05,11:23,18,3:45,T 8379
6,兴宁,12:16,12:20,4,4:56,T 8379
7,梅州,13:08,-,-,5:48,T 8379
1,深圳,-,6:19,-,0:00,C 7018
2,东莞,6:50,6:52,2,0:31,C 7018
3,广州东,7:23,-,-,1:04,C 7018
1,广州东,-,7:26,-,0:00,C 6717
2,石牌,7:32,7:33,1,0:06,C 6717
3,新塘南,7:54,7:55,1,0:28,C 6717
4,中堂,8:00,8:02,2,0:34,C 6717
5,望牛墩,8:06,8:08,2,0:40,C 6717
6,东莞西,8:12,8:13,1,0:46,C 6717
7,洪梅,8:17,8:18,1,0:51,C 6717
8,东莞港,8:25,8:26,1,0:59,C 6717
9,厚街,8:31,8:32,1,1:05,C 6717
10,虎门北,8:37,8:39,2,1:11,C 6717
11,虎门东,8:43,8:45,2,1:17,C 6717
12,长安西,8:51,8:52,1,1:25,C 6717
13,长安,8:56,8:57,1,1:30,C 6717
14,沙井西,9:04,9:05,1,1:38,C 6717
15,福海西,9:09,9:11,2,1:43,C 6717
16,深圳机场北,9:15,9:16,1,1:49,C 6717
17,深圳机场,9:21,-,-,1:55,C 6717
1,广州东,-,7:29,-,0:00,C 7055
2,东莞,7:55,7:57,2,0:26,C 7055
3,常平,8:07,8:09,2,0:38,C 7055
4,平湖,8:25,8:27,2,0:56,C 7055
5,深圳,8:41,-,-,1:12,C 7055
1,深圳,-,6:24,-,0:00,C 7090
2,樟木头,6:44,6:46,2,0:20,C 7090
3,常平,6:53,6:55,2,0:29,C 7090
4,东莞,7:05,7:07,2,0:41,C 7090
5,广州东,7:38,-,-,1:14,C 7090
1,广州东,-,7:40,-,0:00,D 3309
2,东莞,8:06,8:08,2,0:26,D 3309
3,东莞南,8:30,8:32,2,0:50,D 3309
4,深圳北,8:53,8:58,5,1:13,D 3309
5,潮汕,10:28,10:31,3,2:48,D 3309
6,漳州,11:19,11:21,2,3:39,D 3309
7,厦门北,11:38,11:42,4,3:58,D 3309
8,泉州,12:08,12:10,2,4:28,D 3309
9,莆田,12:35,12:37,2,4:55,D 3309
10,福州南,13:08,-,-,5:28,D 3309
1,广州东,-,7:50,-,0:00,C 7135
2,东莞,8:16,8:18,2,0:26,C 7135
3,常平,8:28,8:37,9,0:38,C 7135
4,樟木头,8:44,8:46,2,0:54,C 7135
5,平湖,8:57,9:01,4,1:07,C 7135
6,深圳,9:16,-,-,1:26,C 7135
1,深圳机场,-,6:10,-,0:00,C 6722
2,深圳机场北,6:13,6:15,2,0:03,C 6722
3,福海西,6:19,6:20,1,0:09,C 6722
4,沙井西,6:24,6:26,2,0:14,C 6722
5,长安,6:32,6:34,2,0:22,C 6722
6,长安西,6:37,6:39,2,0:27,C 6722
7,虎门东,6:45,6:46,1,0:35,C 6722
8,虎门北,6:51,6:52,1,0:41,C 6722
9,厚街,6:57,6:59,2,0:47,C 6722
10,东莞港,7:03,7:05,2,0:53,C 6722
11,洪梅,7:11,7:13,2,1:01,C 6722
12,东莞西,7:17,7:18,1,1:07,C 6722
13,望牛墩,7:22,7:23,1,1:12,C 6722
14,中堂,7:28,7:30,2,1:18,C 6722
15,新塘南,7:35,7:36,1,1:25,C 6722
16,广州东,7:57,-,-,1:47,C 6722
1,广州东,-,8:00,-,0:00,C 8001
2,深圳,8:59,-,-,0:59,C 8001
1,深圳,-,6:47,-,0:00,C 7132
2,樟木头,7:07,7:09,2,0:20,C 7132
3,常平,7:16,7:18,2,0:29,C 7132
4,东莞,7:28,7:30,2,0:41,C 7132
5,广州东,8:01,-,-,1:14,C 7132
1,广州东,-,8:10,-,0:00,D 7121
2,东莞,8:36,8:38,2,0:26,D 7121
3,东莞南,9:02,9:11,9,0:52,D 7121
4,深圳北,9:33,9:39,6,1:23,D 7121
5,惠州南,10:01,10:03,2,1:51,D 7121
6,汕尾,10:32,10:34,2,2:22,D 7121
7,潮阳,11:10,11:12,2,3:00,D 7121
8,潮汕,11:26,11:29,3,3:16,D 7121
9,汕头,11:54,-,-,3:44,D 7121
1,襄阳,-,11:45,-,0:00,K 931
2,荆门,13:30,13:34,4,1:45,K 931
3,当阳,14:18,14:21,3,2:33,K 931
4,宜昌东,15:25,16:20,55,3:40,K 931
5,松滋,18:10,18:28,18,6:25,K 931
6,石门县北,19:35,19:41,6,7:50,K 931
7,临澧,20:05,20:08,3,8:20,K 931
8,常德,20:40,20:46,6,8:55,K 931
9,益阳,21:47,21:53,6,10:02,K 931
10,长沙,23:23,23:46,23,11:38,K 931
11,衡阳,2:00,2:05,5,14:15,K 931
12,韶关东,5:30,5:36,6,17:45,K 931
13,广州东,8:13,-,-,20:28,K 931
1,广州东,-,8:13,-,0:00,C 6723
2,新塘南,8:34,8:36,2,0:21,C 6723
3,中堂,8:41,8:42,1,0:28,C 6723
4,望牛墩,8:47,8:48,1,0:34,C 6723
5,东莞西,8:52,8:54,2,0:39,C 6723
6,洪梅,8:57,8:59,2,0:44,C 6723
7,东莞港,9:05,9:07,2,0:52,C 6723
8,厚街,9:11,9:13,2,0:58,C 6723
9,虎门北,9:18,9:19,1,1:05,C 6723
10,虎门东,9:24,9:25,1,1:11,C 6723
11,长安西,9:31,9:33,2,1:18,C 6723
12,长安,9:37,9:38,1,1:24,C 6723
13,沙井西,9:44,9:46,2,1:31,C 6723
14,福海西,9:50,9:52,2,1:37,C 6723
15,深圳机场北,9:56,9:57,1,1:43,C 6723
16,深圳机场,10:02,-,-,1:49,C 6723
1,广州东,-,8:25,-,0:00,K 9241
2,东莞东,9:21,9:27,6,0:56,K 9241
3,惠州,10:11,10:14,3,1:46,K 9241
4,河源,11:06,11:09,3,2:41,K 9241
5,龙川,12:01,12:16,15,3:36,K 9241
6,兴宁,13:09,13:12,3,4:44,K 9241
7,丰顺,14:16,14:21,5,5:51,K 9241
8,揭阳南,14:48,14:53,5,6:23,K 9241
9,潮州,15:17,15:23,6,6:52,K 9241
10,汕头,15:58,-,-,7:33,K 9241
1,深圳机场,-,7:00,-,0:00,C 6742
2,深圳机场北,7:03,7:05,2,0:03,C 6742
3,沙井西,7:11,7:12,1,0:11,C 6742
4,长安西,7:20,7:22,2,0:20,C 6742
5,虎门北,7:30,7:32,2,0:30,C 6742
6,东莞港,7:39,7:41,2,0:39,C 6742
7,东莞西,7:49,7:51,2,0:49,C 6742
8,广州东,8:25,-,-,1:25,C 6742
1,广州东,-,8:28,-,0:00,D 7153
2,东莞,8:54,8:56,2,0:26,D 7153
3,东莞南,9:18,9:22,4,0:50,D 7153
4,深圳北,9:44,9:49,5,1:16,D 7153
5,深圳坪山,10:06,10:08,2,1:38,D 7153
6,汕尾,10:43,10:49,6,2:15,D 7153
7,普宁,11:18,11:20,2,2:50,D 7153
8,潮阳,11:31,11:33,2,3:03,D 7153
9,潮汕,11:45,11:48,3,3:17,D 7153
10,汕头,12:13,-,-,3:45,D 7153
1,哈尔滨西,-,21:39,-,0:00,Z 238
2,沈阳北,1:58,2:04,6,4:19,Z 238
3,唐山,6:35,6:37,2,8:56,Z 238
4,天津,7:50,7:58,8,10:11,Z 238
5,保定,10:15,10:23,8,12:36,Z 238
6,石家庄,11:39,11:47,8,14:00,Z 238
7,邯郸,13:04,13:08,4,15:25,Z 238
8,安阳,13:53,13:57,4,16:14,Z 238
9,新乡,14:49,14:53,4,17:10,Z 238
10,郑州,15:39,15:57,18,18:00,Z 238
11,漯河,17:08,17:10,2,19:29,Z 238
12,武昌,20:49,20:58,9,23:10,Z 238
13,长沙,0:16,0:22,6,26:37:00,Z 238
14,衡阳,2:14,2:18,4,28:35:00,Z 238
15,郴州,3:57,4:01,4,30:18:00,Z 238
16,韶关东,5:42,5:48,6,32:03:00,Z 238
17,广州东,8:33,-,-,34:54:00,Z 238
1,深圳,-,7:16,-,0:00,C 7110
2,平湖,7:27,7:29,2,0:11,C 7110
3,樟木头,7:40,7:42,2,0:24,C 7110
4,常平,7:49,7:51,2,0:33,C 7110
5,东莞,8:01,8:03,2,0:45,C 7110
6,广州东,8:34,-,-,1:18,C 7110
1,广州东,-,8:36,-,0:00,C 7133
2,东莞,9:02,9:09,7,0:26,C 7133
3,常平,9:19,9:21,2,0:43,C 7133
4,樟木头,9:28,9:30,2,0:52,C 7133
5,深圳,9:53,-,-,1:17,C 7133
1,合肥,-,13:46,-,0:00,T 221
2,桐城,15:11,15:17,6,1:25,T 221
3,怀宁,15:44,15:50,6,1:58,T 221
4,天柱山,16:11,16:16,5,2:25,T 221
5,太湖,16:42,16:45,3,2:56,T 221
6,宿松,17:16,17:19,3,3:30,T 221
7,九江,18:22,18:28,6,4:36,T 221
8,南昌,19:58,20:17,19,6:12,T 221
9,赣州,1:05,1:11,6,11:19,T 221
10,龙川,4:44,4:47,3,14:58,T 221
11,河源,5:38,5:41,3,15:52,T 221
12,惠州,6:34,6:37,3,16:48,T 221
13,东莞东,7:19,7:37,18,17:33,T 221
14,广州东,8:43,-,-,18:57,T 221
1,广州东,-,8:43,-,0:00,C 6743
2,新塘南,9:05,9:07,2,0:22,C 6743
3,中堂,9:12,9:13,1,0:29,C 6743
4,望牛墩,9:18,9:19,1,0:35,C 6743
5,东莞西,9:23,9:25,2,0:40,C 6743
6,洪梅,9:28,9:30,2,0:45,C 6743
7,东莞港,9:36,9:38,2,0:53,C 6743
8,厚街,9:42,9:44,2,0:59,C 6743
9,虎门北,9:49,9:50,1,1:06,C 6743
10,虎门东,9:55,9:56,1,1:12,C 6743
11,长安西,10:02,10:15,13,1:19,C 6743
12,长安,10:19,10:20,1,1:36,C 6743
13,沙井西,10:26,10:28,2,1:43,C 6743
14,福海西,10:32,10:34,2,1:49,C 6743
15,深圳机场北,10:38,10:40,2,1:55,C 6743
16,深圳机场,10:44,-,-,2:01,C 6743
1,深圳,-,7:28,-,0:00,C 7002
2,樟木头,7:48,7:51,3,0:20,C 7002
3,常平,7:58,8:00,2,0:30,C 7002
4,东莞,8:10,8:12,2,0:42,C 7002
5,广州东,8:46,-,-,1:18,C 7002
1,广州东,-,8:50,-,0:00,C 7111
2,东莞,9:16,9:18,2,0:26,C 7111
3,常平,9:28,9:30,2,0:38,C 7111
4,平湖,9:46,9:48,2,0:56,C 7111
5,深圳,10:03,-,-,1:13,C 7111
1,深圳,-,8:00,-,0:00,C 8002
2,广州东,8:59,-,-,0:59,C 8002
1,广州东,-,9:04,-,0:00,D 2385
2,东莞南,9:49,9:51,2,0:45,D 2385
3,深圳北,10:13,10:16,3,1:09,D 2385
4,惠东,10:46,10:48,2,1:42,D 2385
5,葵潭,11:26,11:28,2,2:22,D 2385
6,潮汕,11:57,12:00,3,2:53,D 2385
7,诏安,12:20,12:23,3,3:16,D 2385
8,漳浦,12:43,12:45,2,3:39,D 2385
9,厦门,13:33,-,-,4:29,D 2385
1,潮汕,-,6:24,-,0:00,D 7183
2,深圳坪山,7:36,7:38,2,1:12,D 7183
3,深圳北,7:59,8:05,6,1:35,D 7183
4,东莞南,8:21,8:23,2,1:57,D 7183
5,广州东,9:10,-,-,2:46,D 7183
1,广州东,-,9:12,-,0:00,C 7123
2,东莞,9:39,9:41,2,0:27,C 7123
3,常平,9:51,9:53,2,0:39,C 7123
4,樟木头,10:01,10:03,2,0:49,C 7123
5,深圳,10:27,-,-,1:15,C 7123
1,深圳,-,8:13,-,0:00,C 7120
2,平湖,8:24,8:26,2,0:11,C 7120
3,东莞,8:48,8:50,2,0:35,C 7120
4,广州东,9:20,-,-,1:07,C 7120
1,广州东,-,9:21,-,0:00,C 7003
2,东莞,9:47,9:50,3,0:26,C 7003
3,常平,10:00,10:08,8,0:39,C 7003
4,平湖,10:24,10:26,2,1:03,C 7003
5,深圳,10:41,-,-,1:20,C 7003
1,广州东,-,9:31,-,0:00,K 6612
2,衡阳,15:38,15:44,6,6:07,K 6612
