_,station,arr,dep,dwell,runtime,train,line
10,古镇,22:08,22:08,0,_,C 6962,江门线-深湛线200km/h
11,小榄,22:12,22:13,1,2:37,C 6962,江门线-深湛线200km/h
12,南头,22:17,22:17,0,_,C 6962,广珠城际线A200km/h
13,容桂,22:19,22:19,0,_,C 6962,广珠城际线A200km/h
14,顺德学院,22:22,22:22,0,_,C 6962,广珠城际线A200km/h
15,顺德,22:25,22:25,0,_,C 6962,广珠城际线A200km/h
16,北滘,22:27,22:27,0,_,C 6962,广珠城际线A200km/h
17,广州南,22:34,-,5,2:59,C 6962,广珠城际线A200km/h
1,广州南,-,19:15,5,0:00,C 6963,
2,北滘,19:20,19:20,0,_,C 6963,广珠城际线A200km/h
3,顺德,19:22,19:22,0,_,C 6963,广珠城际线A200km/h
4,顺德学院,19:25,19:25,0,_,C 6963,广珠城际线A200km/h
5,容桂,19:28,19:28,0,_,C 6963,广珠城际线A200km/h
6,南头,19:30,19:30,0,_,C 6963,广珠城际线A200km/h
7,小榄,19:33,19:33,0,_,C 6963,广珠城际线A200km/h
8,古镇,19:37,19:37,0,_,C 6963,江门线-深湛线200km/h
9,江门东,19:41,19:41,0,_,C 6963,江门线-深湛线200km/h
10,新会,19:43,19:43,0,_,C 6963,江门线-深湛线200km/h
11,江门,19:45,19:46,1,0:30,C 6963,江门线-深湛线200km/h
12,双水镇,19:56,19:56,0,_,C 6963,江门线-深湛线200km/h
13,台山,20:05,20:07,2,0:50,C 6963,江门线-深湛线200km/h
14,开平南,20:15,20:17,2,1:00,C 6963,江门线-深湛线200km/h
15,恩平,20:28,20:28,0,_,C 6963,江门线-深湛线200km/h
16,阳东,20:40,20:40,0,_,C 6963,江门线-深湛线200km/h
17,阳江,20:51,-,5,1:36,C 6963,江门线-深湛线200km/h
1,阳江,-,21:34,5,1:21,C 6964,
2,阳东,21:43,21:43,0,_,C 6964,江门线-深湛线200km/h
3,恩平,21:55,21:55,0,_,C 6964,江门线-深湛线200km/h
4,开平南,22:05,22:05,0,_,C 6964,江门线-深湛线200km/h
5,台山,22:11,22:11,0,_,C 6964,江门线-深湛线200km/h
6,双水镇,22:16,22:16,0,_,C 6964,江门线-深湛线200km/h
7,江门,22:28,22:36,8,2:17,C 6964,江门线-深湛线200km/h
8,新会,22:40,22:40,0,_,C 6964,江门线-深湛线200km/h
9,江门东,22:42,22:42,0,_,C 6964,江门线-深湛线200km/h
10,古镇,22:46,22:46,0,_,C 6964,江门线-深湛线200km/h
11,小榄,22:49,22:49,0,_,C 6964,江门线-深湛线200km/h
12,南头,22:53,22:53,0,_,C 6964,广珠城际线A200km/h
13,容桂,22:55,22:55,0,_,C 6964,广珠城际线A200km/h
14,顺德学院,22:58,22:58,0,_,C 6964,广珠城际线A200km/h
15,顺德,23:01,23:01,0,_,C 6964,广珠城际线A200km/h
16,北滘,23:03,23:03,0,_,C 6964,广珠城际线A200km/h
17,广州南,23:09,-,5,2:58,C 6964,广珠城际线A200km/h
1,广州南,-,19:28,5,0:00,C 6965,
2,北滘,19:33,19:33,0,_,C 6965,广珠城际线A200km/h
3,顺德,19:35,19:35,0,_,C 6965,广珠城际线A200km/h
4,顺德学院,19:38,19:38,0,_,C 6965,广珠城际线A200km/h
5,容桂,19:41,19:41,0,_,C 6965,广珠城际线A200km/h
6,南头,19:43,19:43,0,_,C 6965,广珠城际线A200km/h
7,小榄,19:46,19:46,0,_,C 6965,广珠城际线A200km/h
8,古镇,19:50,19:50,0,_,C 6965,江门线-深湛线200km/h
9,江门东,19:54,19:54,0,_,C 6965,江门线-深湛线200km/h
10,新会,19:56,19:56,0,_,C 6965,江门线-深湛线200km/h
11,江门,20:01,20:03,2,0:33,C 6965,江门线-深湛线200km/h
12,双水镇,20:13,20:13,0,_,C 6965,江门线-深湛线200km/h
13,台山,20:21,20:23,2,0:53,C 6965,江门线-深湛线200km/h
14,开平南,20:32,20:34,2,1:04,C 6965,江门线-深湛线200km/h
15,恩平,20:48,20:50,2,1:20,C 6965,江门线-深湛线200km/h
16,阳东,21:03,21:03,0,_,C 6965,江门线-深湛线200km/h
17,阳江,21:13,-,5,1:45,C 6965,江门线-深湛线200km/h
1,阳江,-,21:45,5,1:20,C 6966,
2,阳东,21:54,21:54,0,_,C 6966,江门线-深湛线200km/h
3,恩平,22:06,22:06,0,_,C 6966,江门线-深湛线200km/h
4,开平南,22:16,22:16,0,_,C 6966,江门线-深湛线200km/h
5,台山,22:22,22:22,0,_,C 6966,江门线-深湛线200km/h
6,双水镇,22:27,22:27,0,_,C 6966,江门线-深湛线200km/h
7,江门,22:39,22:46,7,2:22,C 6966,江门线-深湛线200km/h
8,新会,22:50,22:50,0,_,C 6966,江门线-深湛线200km/h
9,江门东,22:52,22:52,0,_,C 6966,江门线-深湛线200km/h
10,古镇,22:56,22:56,0,_,C 6966,江门线-深湛线200km/h
11,小榄,22:59,22:59,0,_,C 6966,江门线-深湛线200km/h
12,南头,23:03,23:03,0,_,C 6966,广珠城际线A200km/h
13,容桂,23:05,23:05,0,_,C 6966,广珠城际线A200km/h
14,顺德学院,23:08,23:08,0,_,C 6966,广珠城际线A200km/h
15,顺德,23:11,23:11,0,_,C 6966,广珠城际线A200km/h
16,北滘,23:13,23:13,0,_,C 6966,广珠城际线A200km/h
17,广州南,23:19,-,5,3:02,C 6966,广珠城际线A200km/h
1,广州南,-,23:06,5,2:30,C 6968,贵广客运专线300km/h
2,佛山西,23:25,-,5,2:55,C 6968,贵广客运专线300km/h
1,广州南,-,21:16,5,0:00,C 6969,
2,北滘,21:21,21:21,0,_,C 6969,广珠城际线A200km/h
3,顺德,21:23,21:23,0,_,C 6969,广珠城际线A200km/h
4,顺德学院,21:26,21:26,0,_,C 6969,广珠城际线A200km/h
5,容桂,21:29,21:29,0,_,C 6969,广珠城际线A200km/h
6,南头,21:31,21:31,0,_,C 6969,广珠城际线A200km/h
7,小榄,21:34,21:34,0,_,C 6969,广珠城际线A200km/h
8,古镇,21:38,21:38,0,_,C 6969,江门线-深湛线200km/h
9,江门东,21:42,21:42,0,_,C 6969,江门线-深湛线200km/h
10,新会,21:44,21:44,0,_,C 6969,江门线-深湛线200km/h
11,江门,21:47,21:49,2,0:31,C 6969,江门线-深湛线200km/h
12,双水镇,21:59,21:59,0,_,C 6969,江门线-深湛线200km/h
13,台山,22:04,22:04,0,_,C 6969,江门线-深湛线200km/h
14,开平南,22:10,22:10,0,_,C 6969,江门线-深湛线200km/h
15,恩平,22:20,22:20,0,_,C 6969,江门线-深湛线200km/h
16,阳东,22:32,22:32,0,_,C 6969,江门线-深湛线200km/h
17,阳江,22:41,-,5,1:25,C 6969,江门线-深湛线200km/h
1,江门,-,22:52,5,2:04,C 6970,
2,新会,22:56,22:56,0,_,C 6970,江门线-深湛线200km/h
3,江门东,22:58,22:58,0,_,C 6970,江门线-深湛线200km/h
4,古镇,23:02,23:02,0,_,C 6970,江门线-深湛线200km/h
5,小榄,23:05,23:05,0,_,C 6970,江门线-深湛线200km/h
6,南头,23:09,23:09,0,_,C 6970,广珠城际线A200km/h
7,容桂,23:11,23:11,0,_,C 6970,广珠城际线A200km/h
8,顺德学院,23:14,23:14,0,_,C 6970,广珠城际线A200km/h
9,顺德,23:17,23:17,0,_,C 6970,广珠城际线A200km/h
10,北滘,23:19,23:19,0,_,C 6970,广珠城际线A200km/h
11,广州南,23:27,23:35,8,2:42,C 6970,广珠城际线A200km/h
12,佛山西,23:53,-,5,3:08,C 6970,贵广客运专线300km/h
1,广州南,-,7:02,5,0:00,C 6975,
2,北滘,7:07,7:07,0,_,C 6975,广珠城际线A200km/h
3,顺德,7:09,7:09,0,_,C 6975,广珠城际线A200km/h
4,顺德学院,7:12,7:12,0,_,C 6975,广珠城际线A200km/h
5,容桂,7:15,7:15,0,_,C 6975,广珠城际线A200km/h
6,南头,7:17,7:17,0,_,C 6975,广珠城际线A200km/h
7,小榄,7:20,7:20,0,_,C 6975,广珠城际线A200km/h
8,中山北,7:27,7:27,0,_,C 6975,广珠城际线B200km/h
9,中山,7:28,7:30,2,0:26,C 6975,广珠城际线B200km/h
10,南朗,7:35,7:35,0,_,C 6975,广珠城际线B200km/h
11,珠海北,7:39,7:39,0,_,C 6975,广珠城际线B200km/h
12,唐家湾,7:41,7:41,0,_,C 6975,广珠城际线B200km/h
13,明珠,7:46,7:46,0,_,C 6975,广珠城际线B200km/h
14,珠海,7:56,-,5,0:54,C 6975,广珠城际线B200km/h
1,阳江,-,22:11,5,1:14,C 6980,
2,阳东,22:20,22:20,0,_,C 6980,江门线-深湛线200km/h
3,恩平,22:32,22:32,0,_,C 6980,江门线-深湛线200km/h
4,开平南,22:42,22:42,0,_,C 6980,江门线-深湛线200km/h
5,台山,22:48,22:48,0,_,C 6980,江门线-深湛线200km/h
6,双水镇,22:53,22:53,0,_,C 6980,江门线-深湛线200km/h
7,江门,23:02,23:02,0,_,C 6980,江门线-深湛线200km/h
8,新会,23:05,23:05,0,_,C 6980,江门线-深湛线200km/h
9,江门东,23:07,23:07,0,_,C 6980,江门线-深湛线200km/h
10,古镇,23:11,23:11,0,_,C 6980,江门线-深湛线200km/h
11,小榄,23:14,23:14,0,_,C 6980,江门线-深湛线200km/h
12,南头,23:18,23:18,0,_,C 6980,广珠城际线A200km/h
13,容桂,23:20,23:20,0,_,C 6980,广珠城际线A200km/h
14,顺德学院,23:23,23:23,0,_,C 6980,广珠城际线A200km/h
15,顺德,23:26,23:26,0,_,C 6980,广珠城际线A200km/h
16,北滘,23:28,23:28,0,_,C 6980,广珠城际线A200km/h
17,广州南,23:35,-,5,2:40,C 6980,广珠城际线A200km/h
1,阳江,-,15:10,5,1:20,C 6994,
2,阳东,15:19,15:19,0,_,C 6994,江门线-深湛线200km/h
3,恩平,15:31,15:31,0,_,C 6994,江门线-深湛线200km/h
4,开平南,15:44,15:46,2,1:56,C 6994,江门线-深湛线200km/h
5,台山,15:53,15:53,0,_,C 6994,江门线-深湛线200km/h
6,双水镇,15:58,15:58,0,_,C 6994,江门线-深湛线200km/h
7,江门,16:10,16:12,2,2:22,C 6994,江门线-深湛线200km/h
8,新会,16:16,16:16,0,_,C 6994,江门线-深湛线200km/h
9,江门东,16:18,16:18,0,_,C 6994,江门线-深湛线200km/h
10,古镇,16:22,16:22,0,_,C 6994,江门线-深湛线200km/h
11,小榄,16:25,16:25,0,_,C 6994,江门线-深湛线200km/h
12,南头,16:29,16:29,0,_,C 6994,广珠城际线A200km/h
13,容桂,16:31,16:31,0,_,C 6994,广珠城际线A200km/h
14,顺德学院,16:34,16:34,0,_,C 6994,广珠城际线A200km/h
15,顺德,16:37,16:37,0,_,C 6994,广珠城际线A200km/h
16,北滘,16:39,16:39,0,_,C 6994,广珠城际线A200km/h
17,广州南,16:47,-,5,2:59,C 6994,广珠城际线A200km/h
1,佛山西,-,9:48,5,0:00,C 6995,贵广客运专线300km/h
2,广州南,10:06,10:16,10,0:18,C 6995,贵广客运专线300km/h
3,北滘,10:21,10:21,0,_,C 6995,广珠城际线A200km/h
4,顺德,10:23,10:23,0,_,C 6995,广珠城际线A200km/h
5,顺德学院,10:26,10:26,0,_,C 6995,广珠城际线A200km/h
6,容桂,10:29,10:29,0,_,C 6995,广珠城际线A200km/h
7,南头,10:31,10:31,0,_,C 6995,广珠城际线A200km/h
8,小榄,10:34,10:34,0,_,C 6995,广珠城际线A200km/h
9,古镇,10:38,10:38,0,_,C 6995,江门线-深湛线200km/h
10,江门东,10:42,10:42,0,_,C 6995,江门线-深湛线200km/h
11,新会,10:47,10:49,2,0:59,C 6995,江门线-深湛线200km/h
12,江门,10:53,10:53,0,_,C 6995,江门线-深湛线200km/h
13,双水镇,11:02,11:02,0,_,C 6995,江门线-深湛线200km/h
14,台山,11:07,11:07,0,_,C 6995,江门线-深湛线200km/h
15,开平南,11:13,11:13,0,_,C 6995,江门线-深湛线200km/h
16,恩平,11:23,11:23,0,_,C 6995,江门线-深湛线200km/h
17,阳东,11:35,11:37,2,1:47,C 6995,江门线-深湛线200km/h
18,阳江,11:49,-,5,2:01,C 6995,江门线-深湛线200km/h
1,肇庆,-,7:33,5,0:00,C 6996,
2,端州,7:39,7:39,0,_,C 6996,广佛肇城际线200km/h
3,鼎湖山,7:42,7:42,0,_,C 6996,广佛肇城际线200km/h
4,鼎湖东,7:46,7:47,1,0:13,C 6996,广佛肇城际线200km/h
5,四会,7:54,7:55,1,0:21,C 6996,广佛肇城际线200km/h
6,大旺,7:59,8:01,2,0:26,C 6996,广佛肇城际线200km/h
7,云东海,8:04,8:04,0,_,C 6996,广佛肇城际线200km/h
8,三水北,8:10,8:11,1,0:37,C 6996,广佛肇城际线200km/h
9,狮山北,8:14,8:14,0,_,C 6996,广佛肇城际线200km/h
10,狮山,8:16,8:16,0,_,C 6996,广佛肇城际线200km/h
11,佛山西,8:21,8:24,3,0:48,C 6996,广佛肇城际线200km/h
12,广州南,8:41,8:50,9,1:08,C 6996,贵广客运专线300km/h
13,北滘,8:55,8:55,0,_,C 6996,广珠城际线A200km/h
14,顺德,8:57,8:57,0,_,C 6996,广珠城际线A200km/h
15,顺德学院,9:00,9:00,0,_,C 6996,广珠城际线A200km/h
16,容桂,9:03,9:03,0,_,C 6996,广珠城际线A200km/h
17,南头,9:05,9:05,0,_,C 6996,广珠城际线A200km/h
18,小榄,9:08,9:08,0,_,C 6996,广珠城际线A200km/h
19,古镇,9:12,9:12,0,_,C 6996,江门线-深湛线200km/h
20,江门东,9:16,9:16,0,_,C 6996,江门线-深湛线200km/h
21,新会,9:18,9:18,0,_,C 6996,江门线-深湛线200km/h
22,江门,9:24,9:26,2,1:51,C 6996,江门线-深湛线200km/h
23,双水镇,9:36,9:36,0,_,C 6996,江门线-深湛线200km/h
24,台山,9:44,9:46,2,2:11,C 6996,江门线-深湛线200km/h
25,开平南,9:53,9:53,0,_,C 6996,江门线-深湛线200km/h
26,恩平,10:05,10:07,2,2:32,C 6996,江门线-深湛线200km/h
27,阳东,10:20,10:20,0,_,C 6996,江门线-深湛线200km/h
28,阳江,10:30,-,5,2:57,C 6996,江门线-深湛线200km/h
1,肇庆,-,8:45,5,0:00,C 6998,
2,端州,8:51,8:51,0,_,C 6998,广佛肇城际线200km/h
3,鼎湖山,8:54,8:54,0,_,C 6998,广佛肇城际线200km/h
4,鼎湖东,8:58,8:59,1,0:13,C 6998,广佛肇城际线200km/h
5,四会,9:05,9:05,0,_,C 6998,广佛肇城际线200km/h
6,大旺,9:08,9:10,2,0:23,C 6998,广佛肇城际线200km/h
7,云东海,9:14,9:15,1,0:29,C 6998,广佛肇城际线200km/h
8,三水北,9:22,9:24,2,0:37,C 6998,广佛肇城际线200km/h
9,狮山北,9:27,9:27,0,_,C 6998,广佛肇城际线200km/h
10,狮山,9:29,9:29,0,_,C 6998,广佛肇城际线200km/h
11,佛山西,9:34,9:40,6,0:49,C 6998,广佛肇城际线200km/h
12,广州南,9:58,10:01,3,1:13,C 6998,贵广客运专线300km/h
13,北滘,10:06,10:06,0,_,C 6998,广珠城际线A200km/h
14,顺德,10:08,10:08,0,_,C 6998,广珠城际线A200km/h
15,顺德学院,10:11,10:11,0,_,C 6998,广珠城际线A200km/h
16,容桂,10:14,10:14,0,_,C 6998,广珠城际线A200km/h
17,南头,10:16,10:16,0,_,C 6998,广珠城际线A200km/h
18,小榄,10:19,10:19,0,_,C 6998,广珠城际线A200km/h
19,古镇,10:23,10:23,0,_,C 6998,江门线-深湛线200km/h
20,江门东,10:27,10:27,0,_,C 6998,江门线-深湛线200km/h
21,新会,10:29,10:29,0,_,C 6998,江门线-深湛线200km/h
22,江门,10:36,10:38,2,1:51,C 6998,江门线-深湛线200km/h
23,双水镇,10:48,10:48,0,_,C 6998,江门线-深湛线200km/h
24,台山,10:57,10:59,2,2:12,C 6998,江门线-深湛线200km/h
25,开平南,11:06,11:06,0,_,C 6998,江门线-深湛线200km/h
26,恩平,11:16,11:16,0,_,C 6998,江门线-深湛线200km/h
27,阳东,11:28,11:28,0,_,C 6998,江门线-深湛线200km/h
28,阳江,11:37,-,5,2:52,C 6998,江门线-深湛线200km/h
1,广州东,-,6:01,5,0:00,C 7001,
2,石牌,6:04,6:04,0,_,C 7001,广深线140~180km/h
3,新塘南,6:14,6:14,0,_,C 7001,广深线140~180km/h
4,东莞,6:27,6:29,2,0:26,C 7001,广深线140~180km/h
5,常平,6:39,6:41,2,0:38,C 7001,广深线140~180km/h
6,樟木头,6:48,6:50,2,0:47,C 7001,广深线140~180km/h
7,平湖,6:59,6:59,0,_,C 7001,广深线140~180km/h
8,深圳东,7:03,7:03,0,_,C 7001,广深线140~180km/h
9,深圳,7:13,-,5,1:12,C 7001,广深线140~180km/h
1,深圳,-,7:28,5,0:00,C 7002,
2,深圳东,7:33,7:33,0,_,C 7002,广深线140~180km/h
3,平湖,7:37,7:37,0,_,C 7002,广深线140~180km/h
4,樟木头,7:48,7:51,3,0:20,C 7002,广深线140~180km/h
5,常平,7:58,8:00,2,0:30,C 7002,广深线140~180km/h
6,东莞,8:10,8:12,2,0:42,C 7002,广深线140~180km/h
7,新塘南,8:23,8:23,0,_,C 7002,广深线140~180km/h
8,石牌,8:33,8:33,0,_,C 7002,广深线140~180km/h
9,广州东,8:46,-,5,1:18,C 7002,广深线140~180km/h
1,广州东,-,9:21,5,0:00,C 7003,
2,石牌,9:24,9:24,0,_,C 7003,广深线140~180km/h
3,新塘南,9:34,9:34,0,_,C 7003,广深线140~180km/h
4,东莞,9:47,9:50,3,0:26,C 7003,广深线140~180km/h
5,常平,10:00,10:08,8,0:39,C 7003,广深线140~180km/h
6,樟木头,10:13,10:13,0,_,C 7003,广深线140~180km/h
7,平湖,10:24,10:26,2,1:03,C 7003,广深线140~180km/h
8,深圳东,10:31,10:31,0,_,C 7003,广深线140~180km/h
9,深圳,10:41,-,5,1:20,C 7003,广深线140~180km/h
1,深圳,-,10:57,5,0:00,C 7004,
2,深圳东,11:02,11:02,0,_,C 7004,广深线140~180km/h
3,平湖,11:06,11:06,0,_,C 7004,广深线140~180km/h
4,樟木头,11:18,11:20,2,0:21,C 7004,广深线140~180km/h
5,常平,11:25,11:25,0,_,C 7004,广深线140~180km/h
6,东莞,11:35,11:41,6,0:38,C 7004,广深线140~180km/h
7,新塘南,11:52,11:52,0,_,C 7004,广深线140~180km/h
8,石牌,12:02,12:02,0,_,C 7004,广深线140~180km/h
9,广州东,12:12,-,5,1:15,C 7004,广深线140~180km/h
1,深圳,-,14:03,5,0:00,C 7006,
2,深圳东,14:08,14:08,0,_,C 7006,广深线140~180km/h
3,平湖,14:12,14:12,0,_,C 7006,广深线140~180km/h
4,樟木头,14:23,14:25,2,0:20,C 7006,广深线140~180km/h
5,常平,14:32,14:34,2,0:29,C 7006,广深线140~180km/h
6,东莞,14:44,14:46,2,0:41,C 7006,广深线140~180km/h
7,新塘南,14:57,14:57,0,_,C 7006,广深线140~180km/h
8,石牌,15:07,15:07,0,_,C 7006,广深线140~180km/h
9,广州东,15:17,-,5,1:14,C 7006,广深线140~180km/h
1,深圳,-,17:08,5,0:00,C 7008,
2,深圳东,17:13,17:13,0,_,C 7008,广深线140~180km/h
3,平湖,17:19,17:21,2,0:11,C 7008,广深线140~180km/h
4,樟木头,17:32,17:40,8,0:24,C 7008,广深线140~180km/h
5,常平,17:47,17:48,1,0:39,C 7008,广深线140~180km/h
6,东莞,17:58,18:00,2,0:50,C 7008,广深线140~180km/h
7,新塘南,18:11,18:11,0,_,C 7008,广深线140~180km/h
8,石牌,18:21,18:21,0,_,C 7008,广深线140~180km/h
9,广州东,18:30,-,5,1:22,C 7008,广深线140~180km/h
1,广州东,-,18:50,5,0:00,C 7009,
2,石牌,18:53,18:53,0,_,C 7009,广深线140~180km/h
3,新塘南,19:03,19:03,0,_,C 7009,广深线140~180km/h
4,东莞,19:16,19:18,2,0:26,C 7009,广深线140~180km/h
5,常平,19:28,19:30,2,0:38,C 7009,广深线140~180km/h
6,樟木头,19:35,19:35,0,_,C 7009,广深线140~180km/h
7,平湖,19:43,19:43,0,_,C 7009,广深线140~180km/h
8,深圳东,19:47,19:47,0,_,C 7009,广深线140~180km/h
9,深圳,20:00,-,5,1:10,C 7009,广深线140~180km/h
1,深圳,-,20:23,5,0:00,C 7010,
2,深圳东,20:28,20:28,0,_,C 7010,广深线140~180km/h
3,平湖,20:32,20:32,0,_,C 7010,广深线140~180km/h
4,樟木头,20:45,20:47,2,0:22,C 7010,广深线140~180km/h
5,常平,20:54,20:56,2,0:31,C 7010,广深线140~180km/h
6,东莞,21:06,21:08,2,0:43,C 7010,广深线140~180km/h
7,新塘南,21:19,21:19,0,_,C 7010,广深线140~180km/h
8,石牌,21:29,21:29,0,_,C 7010,广深线140~180km/h
9,广州东,21:39,-,5,1:16,C 7010,广深线140~180km/h
1,广州东,-,6:11,5,0:00,C 7011,
2,石牌,6:14,6:14,0,_,C 7011,广深线140~180km/h
3,新塘南,6:24,6:24,0,_,C 7011,广深线140~180km/h
4,东莞,6:37,6:39,2,0:26,C 7011,广深线140~180km/h
5,常平,6:49,6:55,6,0:38,C 7011,广深线140~180km/h
6,樟木头,7:02,7:04,2,0:51,C 7011,广深线140~180km/h
7,平湖,7:15,7:17,2,1:04,C 7011,广深线140~180km/h
8,深圳东,7:22,7:22,0,_,C 7011,广深线140~180km/h
9,深圳,7:31,-,5,1:20,C 7011,广深线140~180km/h
1,广州东,-,16:30,5,0:00,C 7013,
2,石牌,16:33,16:33,0,_,C 7013,广深线140~180km/h
3,新塘南,16:43,16:43,0,_,C 7013,广深线140~180km/h
4,东莞,16:56,16:58,2,0:26,C 7013,广深线140~180km/h
5,常平,17:08,17:09,1,0:38,C 7013,广深线140~180km/h
6,樟木头,17:14,17:14,0,_,C 7013,广深线140~180km/h
7,平湖,17:22,17:22,0,_,C 7013,广深线140~180km/h
8,深圳东,17:26,17:26,0,_,C 7013,广深线140~180km/h
9,深圳,17:38,-,5,1:08,C 7013,广深线140~180km/h
1,广州东,-,19:25,5,0:00,C 7015,
2,石牌,19:28,19:28,0,_,C 7015,广深线140~180km/h
3,新塘南,19:38,19:38,0,_,C 7015,广深线140~180km/h
4,东莞,19:51,19:53,2,0:26,C 7015,广深线140~180km/h
5,常平,20:03,20:05,2,0:38,C 7015,广深线140~180km/h
6,樟木头,20:10,20:10,0,_,C 7015,广深线140~180km/h
7,平湖,20:21,20:23,2,0:56,C 7015,广深线140~180km/h
8,深圳东,20:28,20:28,0,_,C 7015,广深线140~180km/h
9,深圳,20:37,-,5,1:12,C 7015,广深线140~180km/h
1,深圳,-,21:03,5,0:00,C 7016,
2,深圳东,21:08,21:08,0,_,C 7016,广深线140~180km/h
3,平湖,21:14,21:16,2,0:11,C 7016,广深线140~180km/h
4,樟木头,21:27,21:29,2,0:24,C 7016,广深线140~180km/h
5,常平,21:36,21:38,2,0:33,C 7016,广深线140~180km/h
6,东莞,21:48,21:50,2,0:45,C 7016,广深线140~180km/h
7,新塘南,22:01,22:01,0,_,C 7016,广深线140~180km/h
8,石牌,22:11,22:11,0,_,C 7016,广深线140~180km/h
9,广州东,22:21,-,5,1:18,C 7016,广深线140~180km/h
1,广州东,-,22:37,5,0:00,C 7017,
2,石牌,22:40,22:40,0,_,C 7017,广深线140~180km/h
3,新塘南,22:50,22:50,0,_,C 7017,广深线140~180km/h
4,东莞,23:03,23:05,2,0:26,C 7017,广深线140~180km/h
5,常平,23:15,23:17,2,0:38,C 7017,广深线140~180km/h
6,樟木头,23:24,23:26,2,0:47,C 7017,广深线140~180km/h
7,平湖,23:35,23:35,0,_,C 7017,广深线140~180km/h
8,深圳东,23:39,23:39,0,_,C 7017,广深线140~180km/h
9,深圳,23:50,-,5,1:13,C 7017,广深线140~180km/h
1,深圳,-,6:19,5,0:00,C 7018,
2,深圳东,6:24,6:24,0,_,C 7018,广深线140~180km/h
3,平湖,6:28,6:28,0,_,C 7018,广深线140~180km/h
4,樟木头,6:36,6:36,0,_,C 7018,广深线140~180km/h
5,常平,6:40,6:40,0,_,C 7018,广深线140~180km/h
6,东莞,6:50,6:52,2,0:31,C 7018,广深线140~180km/h
7,新塘南,7:03,7:03,0,_,C 7018,广深线140~180km/h
8,石牌,7:13,7:13,0,_,C 7018,广深线140~180km/h
9,广州东,7:23,-,5,1:04,C 7018,广深线140~180km/h
1,深圳,-,9:51,5,0:00,C 7020,
2,深圳东,9:56,9:56,0,_,C 7020,广深线140~180km/h
3,平湖,10:02,10:04,2,0:11,C 7020,广深线140~180km/h
4,樟木头,10:15,10:17,2,0:24,C 7020,广深线140~180km/h
5,常平,10:24,10:33,9,0:33,C 7020,广深线140~180km/h
6,东莞,10:43,10:45,2,0:52,C 7020,广深线140~180km/h
7,新塘南,10:56,10:56,0,_,C 7020,广深线140~180km/h
8,石牌,11:06,11:06,0,_,C 7020,广深线140~180km/h
9,广州东,11:16,11:19,3,1:25,C 7020,广深线140~180km/h
10,广州,11:29,-,5,1:38,C 7020,广深线140~180km/h
1,广州,-,11:44,5,0:00,C 7021,
2,广州东,11:54,12:05,11,0:10,C 7021,广深线140~180km/h
3,石牌,12:08,12:08,0,_,C 7021,广深线140~180km/h
4,新塘南,12:18,12:18,0,_,C 7021,广深线140~180km/h
5,东莞,12:31,12:33,2,0:47,C 7021,广深线140~180km/h
6,常平,12:43,12:45,2,0:59,C 7021,广深线140~180km/h
7,樟木头,12:50,12:50,0,_,C 7021,广深线140~180km/h
8,平湖,13:01,13:03,2,1:17,C 7021,广深线140~180km/h
9,深圳东,13:08,13:08,0,_,C 7021,广深线140~180km/h
10,深圳,13:17,-,5,1:33,C 7021,广深线140~180km/h
1,深圳,-,16:50,5,0:00,C 7024,
2,深圳东,16:55,16:55,0,_,C 7024,广深线140~180km/h
3,平湖,16:59,16:59,0,_,C 7024,广深线140~180km/h
4,樟木头,17:07,17:07,0,_,C 7024,广深线140~180km/h
5,常平,17:14,17:16,2,0:24,C 7024,广深线140~180km/h
6,东莞,17:26,17:28,2,0:36,C 7024,广深线140~180km/h
7,新塘南,17:39,17:39,0,_,C 7024,广深线140~180km/h
8,石牌,17:49,17:49,0,_,C 7024,广深线140~180km/h
9,广州东,17:59,-,5,1:09,C 7024,广深线140~180km/h
1,广州东,-,18:33,5,0:00,C 7025,
2,石牌,18:36,18:36,0,_,C 7025,广深线140~180km/h
3,新塘南,18:46,18:46,0,_,C 7025,广深线140~180km/h
4,东莞,18:59,19:01,2,0:26,C 7025,广深线140~180km/h
5,常平,19:11,19:13,2,0:38,C 7025,广深线140~180km/h
6,樟木头,19:20,19:22,2,0:47,C 7025,广深线140~180km/h
7,平湖,19:31,19:31,0,_,C 7025,广深线140~180km/h
8,深圳东,19:35,19:35,0,_,C 7025,广深线140~180km/h
9,深圳,19:46,-,5,1:13,C 7025,广深线140~180km/h
1,广州,-,6:18,5,0:00,C 7027,
2,广州东,6:28,6:34,6,0:10,C 7027,广深线140~180km/h
3,石牌,6:37,6:37,0,_,C 7027,广深线140~180km/h
4,新塘南,6:47,6:47,0,_,C 7027,广深线140~180km/h
5,东莞,7:00,7:02,2,0:42,C 7027,广深线140~180km/h
6,常平,7:12,7:14,2,0:54,C 7027,广深线140~180km/h
7,樟木头,7:19,7:19,0,_,C 7027,广深线140~180km/h
8,平湖,7:27,7:27,0,_,C 7027,广深线140~180km/h
9,深圳东,7:31,7:31,0,_,C 7027,广深线140~180km/h
10,深圳,7:43,-,5,1:25,C 7027,广深线140~180km/h
1,广州东,-,9:38,5,0:00,C 7029,
2,石牌,9:41,9:41,0,_,C 7029,广深线140~180km/h
3,新塘南,9:51,9:51,0,_,C 7029,广深线140~180km/h
4,东莞,10:04,10:06,2,0:26,C 7029,广深线140~180km/h
