traincode,station,arr,dep,time,line,state
C 6838,福海西,0,1,111,穗深城际线B140km/h,middle
C 6838,深圳机场北,1,0,115,穗深城际线B140km/h,middle
C 6838,深圳机场北,0,1,116,穗深城际线B140km/h,last
C 6854,福海西,1,0,1,穗深城际线B140km/h,first
C 6854,福海西,0,1,2,穗深城际线B140km/h,middle
C 6854,沙井西,1,0,6,穗深城际线B140km/h,middle
C 6854,沙井西,0,1,6,穗深城际线B140km/h,middle
C 6854,长安,1,0,11,穗深城际线B140km/h,middle
C 6854,长安,0,1,12,穗深城际线B140km/h,middle
C 6854,长安西,1,0,16,穗深城际线B140km/h,middle
C 6854,长安西,0,1,19,穗深城际线B140km/h,middle
C 6854,虎门东,1,0,23,穗深城际线B140km/h,middle
C 6854,虎门东,0,1,23,穗深城际线B140km/h,middle
C 6854,虎门北,1,0,26,穗深城际线B140km/h,middle
C 6854,虎门北,0,1,27,穗深城际线B140km/h,middle
C 6854,厚街,1,0,32,穗深城际线B140km/h,middle
C 6854,厚街,0,1,34,穗深城际线B140km/h,middle
C 6854,东莞港,1,0,37,穗深城际线B140km/h,middle
C 6854,东莞港,0,1,37,穗深城际线B140km/h,middle
C 6854,洪梅,1,0,43,穗深城际线B140km/h,middle
C 6854,洪梅,0,1,44,穗深城际线B140km/h,middle
C 6854,东莞西,1,0,48,穗深城际线B140km/h,middle
C 6854,东莞西,0,1,50,穗深城际线A140km/h,middle
C 6854,望牛墩,1,0,53,穗深城际线A140km/h,middle
C 6854,望牛墩,0,1,53,穗深城际线A140km/h,middle
C 6854,中堂,1,0,56,穗深城际线A140km/h,middle
C 6854,中堂,0,1,58,穗深城际线A140km/h,middle
C 6854,新塘南,1,0,63,穗深城际线A140km/h,last
C 6855,新塘南,0,1,90,穗深城际线A140km/h,first
C 6855,中堂,1,0,95,穗深城际线A140km/h,middle
C 6855,中堂,0,1,96,穗深城际线A140km/h,middle
C 6855,望牛墩,1,0,101,穗深城际线A140km/h,middle
C 6855,望牛墩,0,1,102,穗深城际线A140km/h,middle
C 6855,东莞西,1,0,106,穗深城际线A140km/h,middle
C 6855,东莞西,0,1,108,穗深城际线B140km/h,middle
C 6855,洪梅,1,0,111,穗深城际线B140km/h,middle
C 6855,洪梅,0,1,113,穗深城际线B140km/h,middle
C 6855,东莞港,1,0,119,穗深城际线B140km/h,last
C 6856,深圳机场,0,1,40,穗深城际线B140km/h,first
C 6856,深圳机场北,1,0,44,穗深城际线B140km/h,middle
C 6856,深圳机场北,0,1,46,穗深城际线B140km/h,middle
C 6856,福海西,1,0,49,穗深城际线B140km/h,middle
C 6856,福海西,0,1,50,穗深城际线B140km/h,middle
C 6856,沙井西,1,0,53,穗深城际线B140km/h,middle
C 6856,沙井西,0,1,53,穗深城际线B140km/h,middle
C 6856,长安,1,0,59,穗深城际线B140km/h,middle
C 6856,长安,0,1,60,穗深城际线B140km/h,middle
C 6856,长安西,1,0,62,穗深城际线B140km/h,middle
C 6856,长安西,0,1,62,穗深城际线B140km/h,middle
C 6856,虎门东,1,0,68,穗深城际线B140km/h,middle
C 6856,虎门东,0,1,69,穗深城际线B140km/h,middle
C 6856,虎门北,1,0,74,穗深城际线B140km/h,middle
C 6856,虎门北,0,1,75,穗深城际线B140km/h,middle
C 6856,厚街,1,0,80,穗深城际线B140km/h,middle
C 6856,厚街,0,1,82,穗深城际线B140km/h,middle
C 6856,东莞港,1,0,85,穗深城际线B140km/h,middle
C 6856,东莞港,0,1,85,穗深城际线B140km/h,middle
C 6856,洪梅,1,0,89,穗深城际线B140km/h,middle
C 6856,洪梅,0,1,89,穗深城际线B140km/h,middle
C 6856,东莞西,1,0,93,穗深城际线B140km/h,middle
C 6856,东莞西,0,1,94,穗深城际线A140km/h,middle
C 6856,望牛墩,1,0,97,穗深城际线A140km/h,middle
C 6856,望牛墩,0,1,97,穗深城际线A140km/h,middle
C 6856,中堂,1,0,101,穗深城际线A140km/h,middle
C 6856,中堂,0,1,102,穗深城际线A140km/h,middle
C 6856,新塘南,1,0,108,穗深城际线A140km/h,last
C 6885,佛山西,0,1,1,广佛肇城际线200km/h,first
C 6885,狮山,1,0,5,广佛肇城际线200km/h,middle
C 6885,狮山,0,1,6,广佛肇城际线200km/h,middle
C 6885,狮山北,1,0,8,广佛肇城际线200km/h,middle
C 6885,狮山北,0,1,8,广佛肇城际线200km/h,middle
C 6885,三水北,1,0,11,广佛肇城际线200km/h,middle
C 6885,三水北,0,1,12,广佛肇城际线200km/h,middle
C 6885,云东海,1,0,17,广佛肇城际线200km/h,middle
C 6885,云东海,0,1,17,广佛肇城际线200km/h,middle
C 6885,大旺,1,0,20,广佛肇城际线200km/h,middle
C 6885,大旺,0,1,22,广佛肇城际线200km/h,middle
C 6885,四会,1,0,28,广佛肇城际线200km/h,middle
C 6885,四会,0,1,29,广佛肇城际线200km/h,middle
C 6885,鼎湖东,1,0,35,广佛肇城际线200km/h,middle
C 6885,鼎湖东,0,1,36,广佛肇城际线200km/h,middle
C 6885,鼎湖山,1,0,39,广佛肇城际线200km/h,middle
C 6885,鼎湖山,0,1,40,广佛肇城际线200km/h,middle
C 6885,端州,1,0,43,广佛肇城际线200km/h,middle
C 6885,端州,0,1,43,广佛肇城际线200km/h,middle
C 6885,肇庆,1,0,49,广佛肇城际线200km/h,last
C 6886,肇庆,0,1,70,广佛肇城际线200km/h,first
C 6886,端州,1,0,76,广佛肇城际线200km/h,middle
C 6886,端州,0,1,76,广佛肇城际线200km/h,middle
C 6886,鼎湖山,1,0,80,广佛肇城际线200km/h,middle
C 6886,鼎湖山,0,1,81,广佛肇城际线200km/h,middle
C 6886,鼎湖东,1,0,89,广佛肇城际线200km/h,middle
C 6886,鼎湖东,0,1,90,广佛肇城际线200km/h,middle
C 6886,四会,1,0,95,广佛肇城际线200km/h,middle
C 6886,四会,0,1,96,广佛肇城际线200km/h,middle
C 6886,大旺,1,0,99,广佛肇城际线200km/h,middle
C 6886,大旺,0,1,101,广佛肇城际线200km/h,middle
C 6886,云东海,1,0,105,广佛肇城际线200km/h,middle
C 6886,云东海,0,1,106,广佛肇城际线200km/h,middle
C 6886,三水北,1,0,113,广佛肇城际线200km/h,middle
C 6886,三水北,0,1,114,广佛肇城际线200km/h,middle
C 6886,狮山北,1,0,117,广佛肇城际线200km/h,middle
C 6886,狮山北,0,1,117,广佛肇城际线200km/h,middle
C 6886,狮山,1,0,120,广佛肇城际线200km/h,last
C 6916,小榄,1,0,3,江门线-深湛线200km/h,first
C 6916,小榄,0,1,3,广珠城际线A200km/h,middle
C 6916,南头,1,0,7,广珠城际线A200km/h,middle
C 6916,南头,0,1,7,广珠城际线A200km/h,middle
C 6916,容桂,1,0,9,广珠城际线A200km/h,middle
C 6916,容桂,0,1,9,广珠城际线A200km/h,middle
C 6916,顺德学院,1,0,14,广珠城际线A200km/h,middle
C 6916,顺德学院,0,1,14,广珠城际线A200km/h,middle
C 6916,顺德,1,0,17,广珠城际线A200km/h,middle
C 6916,顺德,0,1,17,广珠城际线A200km/h,middle
C 6916,北滘,1,0,20,广珠城际线A200km/h,middle
C 6916,北滘,0,1,20,广珠城际线A200km/h,middle
C 6916,广州南,1,0,24,广珠城际线A200km/h,last
C 6918,江门东,1,0,1,江门线-深湛线200km/h,first
C 6918,江门东,0,1,1,江门线-深湛线200km/h,middle
C 6918,古镇,1,0,5,江门线-深湛线200km/h,middle
C 6918,古镇,0,1,5,江门线-深湛线200km/h,middle
C 6918,小榄,1,0,8,江门线-深湛线200km/h,middle
C 6918,小榄,0,1,8,广珠城际线A200km/h,middle
C 6918,南头,1,0,12,广珠城际线A200km/h,middle
C 6918,南头,0,1,12,广珠城际线A200km/h,middle
C 6918,容桂,1,0,18,广珠城际线A200km/h,middle
C 6918,容桂,0,1,18,广珠城际线A200km/h,middle
C 6918,顺德学院,1,0,21,广珠城际线A200km/h,middle
C 6918,顺德学院,0,1,21,广珠城际线A200km/h,middle
C 6918,顺德,1,0,24,广珠城际线A200km/h,middle
C 6918,顺德,0,1,24,广珠城际线A200km/h,middle
C 6918,北滘,1,0,26,广珠城际线A200km/h,middle
C 6918,北滘,0,1,26,广珠城际线A200km/h,middle
C 6918,广州南,1,0,30,广珠城际线A200km/h,last
C 6920,双水镇,1,0,0,江门线-深湛线200km/h,first
C 6920,双水镇,0,1,2,江门线-深湛线200km/h,middle
C 6920,江门,1,0,14,江门线-深湛线200km/h,middle
C 6920,江门,0,1,16,江门线-深湛线200km/h,middle
C 6920,新会,1,0,24,江门线-深湛线200km/h,middle
C 6920,新会,0,1,26,江门线-深湛线200km/h,middle
C 6920,江门东,1,0,29,江门线-深湛线200km/h,middle
C 6920,江门东,0,1,29,江门线-深湛线200km/h,middle
C 6920,古镇,1,0,33,江门线-深湛线200km/h,middle
C 6920,古镇,0,1,33,江门线-深湛线200km/h,middle
C 6920,小榄,1,0,36,江门线-深湛线200km/h,middle
C 6920,小榄,0,1,36,广珠城际线A200km/h,middle
C 6920,南头,1,0,40,广珠城际线A200km/h,middle
C 6920,南头,0,1,40,广珠城际线A200km/h,middle
C 6920,容桂,1,0,42,广珠城际线A200km/h,middle
C 6920,容桂,0,1,43,广珠城际线A200km/h,middle
C 6920,顺德学院,1,0,48,广珠城际线A200km/h,middle
C 6920,顺德学院,0,1,48,广珠城际线A200km/h,middle
C 6920,顺德,1,0,51,广珠城际线A200km/h,middle
C 6920,顺德,0,1,51,广珠城际线A200km/h,middle
C 6920,北滘,1,0,53,广珠城际线A200km/h,middle
C 6920,北滘,0,1,53,广珠城际线A200km/h,middle
C 6920,广州南,1,0,57,广珠城际线A200km/h,last
C 6922,台山,1,0,4,江门线-深湛线200km/h,first
C 6922,台山,0,1,6,江门线-深湛线200km/h,middle
C 6922,双水镇,1,0,12,江门线-深湛线200km/h,middle
C 6922,双水镇,0,1,12,江门线-深湛线200km/h,middle
C 6922,江门,1,0,26,江门线-深湛线200km/h,middle
C 6922,江门,0,1,28,江门线-深湛线200km/h,middle
C 6922,新会,1,0,37,江门线-深湛线200km/h,middle
C 6922,新会,0,1,41,江门线-深湛线200km/h,middle
C 6922,江门东,1,0,43,江门线-深湛线200km/h,middle
C 6922,江门东,0,1,43,江门线-深湛线200km/h,middle
C 6922,古镇,1,0,47,江门线-深湛线200km/h,middle
C 6922,古镇,0,1,47,江门线-深湛线200km/h,middle
C 6922,小榄,1,0,50,江门线-深湛线200km/h,middle
C 6922,小榄,0,1,50,广珠城际线A200km/h,middle
C 6922,南头,1,0,55,广珠城际线A200km/h,middle
C 6922,南头,0,1,55,广珠城际线A200km/h,middle
C 6922,容桂,1,0,57,广珠城际线A200km/h,middle
C 6922,容桂,0,1,58,广珠城际线A200km/h,middle
C 6922,顺德学院,1,0,66,广珠城际线A200km/h,middle
C 6922,顺德学院,0,1,66,广珠城际线A200km/h,middle
C 6922,顺德,1,0,70,广珠城际线A200km/h,middle
C 6922,顺德,0,1,73,广珠城际线A200km/h,middle
C 6922,北滘,1,0,75,广珠城际线A200km/h,middle
C 6922,北滘,0,1,75,广珠城际线A200km/h,middle
C 6922,广州南,1,0,79,广珠城际线A200km/h,last
C 6924,恩平,1,0,6,江门线-深湛线200km/h,first
C 6924,恩平,0,1,6,江门线-深湛线200km/h,middle
C 6924,开平南,1,0,16,江门线-深湛线200km/h,middle
C 6924,开平南,0,1,16,江门线-深湛线200km/h,middle
C 6924,台山,1,0,22,江门线-深湛线200km/h,middle
C 6924,台山,0,1,22,江门线-深湛线200km/h,middle
C 6924,双水镇,1,0,30,江门线-深湛线200km/h,middle
C 6924,双水镇,0,1,32,江门线-深湛线200km/h,middle
C 6924,江门,1,0,45,江门线-深湛线200km/h,middle
C 6924,江门,0,1,48,江门线-深湛线200km/h,middle
C 6924,新会,1,0,53,江门线-深湛线200km/h,middle
C 6924,新会,0,1,53,江门线-深湛线200km/h,middle
C 6924,江门东,1,0,55,江门线-深湛线200km/h,middle
C 6924,江门东,0,1,55,江门线-深湛线200km/h,middle
C 6924,古镇,1,0,61,江门线-深湛线200km/h,middle
C 6924,古镇,0,1,61,江门线-深湛线200km/h,middle
C 6924,小榄,1,0,64,江门线-深湛线200km/h,middle
C 6924,小榄,0,1,64,广珠城际线A200km/h,middle
C 6924,南头,1,0,67,广珠城际线A200km/h,middle
C 6924,南头,0,1,67,广珠城际线A200km/h,middle
C 6924,容桂,1,0,69,广珠城际线A200km/h,middle
C 6924,容桂,0,1,69,广珠城际线A200km/h,middle
C 6924,顺德学院,1,0,73,广珠城际线A200km/h,middle
C 6924,顺德学院,0,1,73,广珠城际线A200km/h,middle
C 6924,顺德,1,0,76,广珠城际线A200km/h,middle
C 6924,顺德,0,1,76,广珠城际线A200km/h,middle
C 6924,北滘,1,0,78,广珠城际线A200km/h,middle
C 6924,北滘,0,1,78,广珠城际线A200km/h,middle
C 6924,广州南,1,0,82,广珠城际线A200km/h,last
C 6926,阳东,1,0,5,江门线-深湛线200km/h,first
C 6926,阳东,0,1,5,江门线-深湛线200km/h,middle
C 6926,恩平,1,0,20,江门线-深湛线200km/h,middle
C 6926,恩平,0,1,22,江门线-深湛线200km/h,middle
C 6926,开平南,1,0,36,江门线-深湛线200km/h,middle
C 6926,开平南,0,1,38,江门线-深湛线200km/h,middle
C 6926,台山,1,0,45,江门线-深湛线200km/h,middle
C 6926,台山,0,1,45,江门线-深湛线200km/h,middle
C 6926,双水镇,1,0,51,江门线-深湛线200km/h,middle
C 6926,双水镇,0,1,51,江门线-深湛线200km/h,middle
C 6926,江门,1,0,62,江门线-深湛线200km/h,middle
C 6926,江门,0,1,64,江门线-深湛线200km/h,middle
C 6926,新会,1,0,68,江门线-深湛线200km/h,middle
C 6926,新会,0,1,68,江门线-深湛线200km/h,middle
C 6926,江门东,1,0,70,江门线-深湛线200km/h,middle
C 6926,江门东,0,1,70,江门线-深湛线200km/h,middle
C 6926,古镇,1,0,74,江门线-深湛线200km/h,middle
C 6926,古镇,0,1,74,江门线-深湛线200km/h,middle
C 6926,小榄,1,0,77,江门线-深湛线200km/h,middle
C 6926,小榄,0,1,77,广珠城际线A200km/h,middle
C 6926,南头,1,0,81,广珠城际线A200km/h,middle
C 6926,南头,0,1,81,广珠城际线A200km/h,middle
C 6926,容桂,1,0,83,广珠城际线A200km/h,middle
C 6926,容桂,0,1,83,广珠城际线A200km/h,middle
C 6926,顺德学院,1,0,92,广珠城际线A200km/h,middle
C 6926,顺德学院,0,1,92,广珠城际线A200km/h,middle
C 6926,顺德,1,0,96,广珠城际线A200km/h,middle
C 6926,顺德,0,1,102,广珠城际线A200km/h,middle
C 6926,北滘,1,0,106,广珠城际线A200km/h,middle
C 6926,北滘,0,1,106,广珠城际线A200km/h,middle
C 6926,广州南,1,0,110,广珠城际线A200km/h,last
C 6928,阳江,0,1,34,江门线-深湛线200km/h,first
C 6928,阳东,1,0,43,江门线-深湛线200km/h,middle
C 6928,阳东,0,1,43,江门线-深湛线200km/h,middle
C 6928,恩平,1,0,55,江门线-深湛线200km/h,middle
C 6928,恩平,0,1,55,江门线-深湛线200km/h,middle
C 6928,开平南,1,0,68,江门线-深湛线200km/h,middle
C 6928,开平南,0,1,70,江门线-深湛线200km/h,middle
C 6928,台山,1,0,77,江门线-深湛线200km/h,middle
C 6928,台山,0,1,77,江门线-深湛线200km/h,middle
C 6928,双水镇,1,0,82,江门线-深湛线200km/h,middle
C 6928,双水镇,0,1,82,江门线-深湛线200km/h,middle
C 6928,江门,1,0,94,江门线-深湛线200km/h,middle
C 6928,江门,0,1,97,江门线-深湛线200km/h,middle
C 6928,新会,1,0,101,江门线-深湛线200km/h,middle
C 6928,新会,0,1,101,江门线-深湛线200km/h,middle
C 6928,江门东,1,0,105,江门线-深湛线200km/h,middle
C 6928,江门东,0,1,105,江门线-深湛线200km/h,middle
C 6928,古镇,1,0,109,江门线-深湛线200km/h,middle
C 6928,古镇,0,1,109,江门线-深湛线200km/h,middle
C 6928,小榄,1,0,112,江门线-深湛线200km/h,middle
C 6928,小榄,0,1,112,广珠城际线A200km/h,middle
C 6928,南头,1,0,117,广珠城际线A200km/h,middle
C 6928,南头,0,1,117,广珠城际线A200km/h,last
C 6930,阳江,0,1,46,江门线-深湛线200km/h,first
C 6930,阳东,1,0,55,江门线-深湛线200km/h,middle
C 6930,阳东,0,1,55,江门线-深湛线200km/h,middle
C 6930,恩平,1,0,71,江门线-深湛线200km/h,middle
C 6930,恩平,0,1,73,江门线-深湛线200km/h,middle
C 6930,开平南,1,0,83,江门线-深湛线200km/h,middle
C 6930,开平南,0,1,83,江门线-深湛线200km/h,middle
C 6930,台山,1,0,89,江门线-深湛线200km/h,middle
C 6930,台山,0,1,89,江门线-深湛线200km/h,middle
C 6930,双水镇,1,0,95,江门线-深湛线200km/h,middle
C 6930,双水镇,0,1,97,江门线-深湛线200km/h,middle
C 6930,江门,1,0,106,江门线-深湛线200km/h,middle
C 6930,江门,0,1,106,江门线-深湛线200km/h,middle
C 6930,新会,1,0,109,江门线-深湛线200km/h,middle
C 6930,新会,0,1,111,江门线-深湛线200km/h,middle
C 6930,江门东,1,0,114,江门线-深湛线200km/h,middle
C 6930,江门东,0,1,114,江门线-深湛线200km/h,middle
C 6930,古镇,1,0,118,江门线-深湛线200km/h,middle
C 6930,古镇,0,1,118,江门线-深湛线200km/h,last
C 6932,阳江,0,1,55,江门线-深湛线200km/h,first
C 6932,阳东,1,0,67,江门线-深湛线200km/h,middle
C 6932,阳东,0,1,69,江门线-深湛线200km/h,middle
C 6932,恩平,1,0,82,江门线-深湛线200km/h,middle
C 6932,恩平,0,1,82,江门线-深湛线200km/h,middle
C 6932,开平南,1,0,95,江门线-深湛线200km/h,middle
C 6932,开平南,0,1,97,江门线-深湛线200km/h,middle
C 6932,台山,1,0,103,江门线-深湛线200km/h,middle
C 6932,台山,0,1,105,江门线-深湛线200km/h,middle
C 6932,双水镇,1,0,110,江门线-深湛线200km/h,middle
C 6932,双水镇,0,1,110,江门线-深湛线200km/h,last
C 6933,开平南,1,0,0,江门线-深湛线200km/h,first
C 6933,开平南,0,1,0,江门线-深湛线200km/h,middle
C 6933,恩平,1,0,10,江门线-深湛线200km/h,middle
C 6933,恩平,0,1,10,江门线-深湛线200km/h,middle
C 6933,阳东,1,0,24,江门线-深湛线200km/h,middle
C 6933,阳东,0,1,31,江门线-深湛线200km/h,middle
C 6933,阳江,1,0,42,江门线-深湛线200km/h,last
C 6935,南头,1,0,1,广珠城际线A200km/h,first
C 6935,南头,0,1,1,广珠城际线A200km/h,middle
C 6935,小榄,1,0,4,广珠城际线A200km/h,middle
C 6935,小榄,0,1,4,江门线-深湛线200km/h,middle
C 6935,古镇,1,0,8,江门线-深湛线200km/h,middle
C 6935,古镇,0,1,8,江门线-深湛线200km/h,middle
C 6935,江门东,1,0,13,江门线-深湛线200km/h,middle
C 6935,江门东,0,1,14,江门线-深湛线200km/h,middle
C 6935,新会,1,0,16,江门线-深湛线200km/h,middle
C 6935,新会,0,1,16,江门线-深湛线200km/h,middle
C 6935,江门,1,0,19,江门线-深湛线200km/h,last
C 6937,北滘,1,0,2,广珠城际线A200km/h,first
C 6937,北滘,0,1,2,广珠城际线A200km/h,middle
C 6937,顺德,1,0,5,广珠城际线A200km/h,middle
C 6937,顺德,0,1,5,广珠城际线A200km/h,middle
C 6937,顺德学院,1,0,8,广珠城际线A200km/h,middle
C 6937,顺德学院,0,1,8,广珠城际线A200km/h,middle
C 6937,容桂,1,0,12,广珠城际线A200km/h,middle
C 6937,容桂,0,1,12,广珠城际线A200km/h,middle
C 6937,南头,1,0,15,广珠城际线A200km/h,middle
C 6937,南头,0,1,15,广珠城际线A200km/h,middle
C 6937,小榄,1,0,18,广珠城际线A200km/h,middle
C 6937,小榄,0,1,18,江门线-深湛线200km/h,middle
C 6937,古镇,1,0,21,江门线-深湛线200km/h,middle
C 6937,古镇,0,1,22,江门线-深湛线200km/h,middle
C 6937,江门东,1,0,26,江门线-深湛线200km/h,middle
C 6937,江门东,0,1,26,江门线-深湛线200km/h,middle
C 6937,新会,1,0,28,江门线-深湛线200km/h,middle
C 6937,新会,0,1,29,江门线-深湛线200km/h,middle
C 6937,江门,1,0,32,江门线-深湛线200km/h,middle
C 6937,江门,0,1,34,江门线-深湛线200km/h,middle
C 6937,双水镇,1,0,43,江门线-深湛线200km/h,middle
C 6937,双水镇,0,1,43,江门线-深湛线200km/h,middle
C 6937,台山,1,0,48,江门线-深湛线200km/h,middle
C 6937,台山,0,1,48,江门线-深湛线200km/h,middle
C 6937,开平南,1,0,54,江门线-深湛线200km/h,middle
C 6937,开平南,0,1,56,江门线-深湛线200km/h,middle
C 6937,恩平,1,0,68,江门线-深湛线200km/h,middle
C 6937,恩平,0,1,79,江门线-深湛线200km/h,middle
C 6937,阳东,1,0,91,江门线-深湛线200km/h,middle
C 6937,阳东,0,1,93,江门线-深湛线200km/h,middle
C 6937,阳江,1,0,104,江门线-深湛线200km/h,last
C 6939,广州南,0,1,12,广珠城际线A200km/h,first
C 6939,北滘,1,0,17,广珠城际线A200km/h,middle
C 6939,北滘,0,1,17,广珠城际线A200km/h,middle
C 6939,顺德,1,0,20,广珠城际线A200km/h,middle
C 6939,顺德,0,1,20,广珠城际线A200km/h,middle
C 6939,顺德学院,1,0,24,广珠城际线A200km/h,middle
C 6939,顺德学院,0,1,24,广珠城际线A200km/h,middle
C 6939,容桂,1,0,27,广珠城际线A200km/h,middle
C 6939,容桂,0,1,27,广珠城际线A200km/h,middle
C 6939,南头,1,0,33,广珠城际线A200km/h,middle
C 6939,南头,0,1,33,广珠城际线A200km/h,middle
C 6939,小榄,1,0,36,广珠城际线A200km/h,middle
C 6939,小榄,0,1,36,江门线-深湛线200km/h,middle
C 6939,古镇,1,0,39,江门线-深湛线200km/h,middle
C 6939,古镇,0,1,41,江门线-深湛线200km/h,middle
C 6939,江门东,1,0,46,江门线-深湛线200km/h,middle
C 6939,江门东,0,1,48,江门线-深湛线200km/h,middle
C 6939,新会,1,0,50,江门线-深湛线200km/h,middle
C 6939,新会,0,1,50,江门线-深湛线200km/h,middle
C 6939,江门,1,0,53,江门线-深湛线200km/h,last
C 6941,广州南,0,1,35,广珠城际线A200km/h,first
C 6941,北滘,1,0,40,广珠城际线A200km/h,middle
C 6941,北滘,0,1,40,广珠城际线A200km/h,middle
C 6941,顺德,1,0,42,广珠城际线A200km/h,middle
C 6941,顺德,0,1,42,广珠城际线A200km/h,middle
C 6941,顺德学院,1,0,45,广珠城际线A200km/h,middle
C 6941,顺德学院,0,1,45,广珠城际线A200km/h,middle
C 6941,容桂,1,0,48,广珠城际线A200km/h,middle
C 6941,容桂,0,1,49,广珠城际线A200km/h,middle
C 6941,南头,1,0,52,广珠城际线A200km/h,middle
C 6941,南头,0,1,52,广珠城际线A200km/h,middle
C 6941,小榄,1,0,55,广珠城际线A200km/h,middle
C 6941,小榄,0,1,55,江门线-深湛线200km/h,middle
C 6941,古镇,1,0,58,江门线-深湛线200km/h,middle
C 6941,古镇,0,1,58,江门线-深湛线200km/h,middle
C 6941,江门东,1,0,62,江门线-深湛线200km/h,middle
C 6941,江门东,0,1,62,江门线-深湛线200km/h,middle
C 6941,新会,1,0,64,江门线-深湛线200km/h,middle
C 6941,新会,0,1,64,江门线-深湛线200km/h,middle
C 6941,江门,1,0,67,江门线-深湛线200km/h,middle
C 6941,江门,0,1,70,江门线-深湛线200km/h,middle
C 6941,双水镇,1,0,79,江门线-深湛线200km/h,middle
C 6941,双水镇,0,1,79,江门线-深湛线200km/h,middle
C 6941,台山,1,0,84,江门线-深湛线200km/h,middle
C 6941,台山,0,1,84,江门线-深湛线200km/h,middle
C 6941,开平南,1,0,92,江门线-深湛线200km/h,middle
C 6941,开平南,0,1,94,江门线-深湛线200km/h,middle
C 6941,恩平,1,0,105,江门线-深湛线200km/h,middle
C 6941,恩平,0,1,105,江门线-深湛线200km/h,middle
C 6941,阳东,1,0,117,江门线-深湛线200km/h,middle
C 6941,阳东,0,1,117,江门线-深湛线200km/h,last
C 6943,广州南,0,1,49,广珠城际线A200km/h,first
C 6943,北滘,1,0,56,广珠城际线A200km/h,middle
C 6943,北滘,0,1,56,广珠城际线A200km/h,middle
C 6943,顺德,1,0,60,广珠城际线A200km/h,middle
C 6943,顺德,0,1,60,广珠城际线A200km/h,middle
C 6943,顺德学院,1,0,63,广珠城际线A200km/h,middle
C 6943,顺德学院,0,1,63,广珠城际线A200km/h,middle
C 6943,容桂,1,0,66,广珠城际线A200km/h,middle
C 6943,容桂,0,1,66,广珠城际线A200km/h,middle
C 6943,南头,1,0,70,广珠城际线A200km/h,middle
C 6943,南头,0,1,70,广珠城际线A200km/h,middle
C 6943,小榄,1,0,73,广珠城际线A200km/h,middle
C 6943,小榄,0,1,73,江门线-深湛线200km/h,middle
C 6943,古镇,1,0,77,江门线-深湛线200km/h,middle
C 6943,古镇,0,1,77,江门线-深湛线200km/h,middle
C 6943,江门东,1,0,81,江门线-深湛线200km/h,middle
C 6943,江门东,0,1,81,江门线-深湛线200km/h,middle
C 6943,新会,1,0,83,江门线-深湛线200km/h,middle
C 6943,新会,0,1,85,江门线-深湛线200km/h,middle
C 6943,江门,1,0,89,江门线-深湛线200km/h,middle
C 6943,江门,0,1,91,江门线-深湛线200km/h,middle
C 6943,双水镇,1,0,103,江门线-深湛线200km/h,middle
C 6943,双水镇,0,1,105,江门线-深湛线200km/h,middle
C 6943,台山,1,0,111,江门线-深湛线200km/h,middle
C 6943,台山,0,1,111,江门线-深湛线200km/h,middle
C 6943,开平南,1,0,117,江门线-深湛线200km/h,middle
C 6943,开平南,0,1,117,江门线-深湛线200km/h,last
C 6945,广州南,0,1,76,广珠城际线A200km/h,first
C 6945,北滘,1,0,81,广珠城际线A200km/h,middle
C 6945,北滘,0,1,81,广珠城际线A200km/h,middle
C 6945,顺德,1,0,83,广珠城际线A200km/h,middle
C 6945,顺德,0,1,83,广珠城际线A200km/h,middle
C 6945,顺德学院,1,0,86,广珠城际线A200km/h,middle
C 6945,顺德学院,0,1,86,广珠城际线A200km/h,middle
C 6945,容桂,1,0,89,广珠城际线A200km/h,middle
C 6945,容桂,0,1,89,广珠城际线A200km/h,middle
C 6945,南头,1,0,91,广珠城际线A200km/h,middle
C 6945,南头,0,1,91,广珠城际线A200km/h,middle
C 6945,小榄,1,0,94,广珠城际线A200km/h,middle
C 6945,小榄,0,1,94,江门线-深湛线200km/h,middle
C 6945,古镇,1,0,98,江门线-深湛线200km/h,middle
C 6945,古镇,0,1,98,江门线-深湛线200km/h,middle
C 6945,江门东,1,0,102,江门线-深湛线200km/h,middle
C 6945,江门东,0,1,102,江门线-深湛线200km/h,middle
C 6945,新会,1,0,104,江门线-深湛线200km/h,middle
C 6945,新会,0,1,104,江门线-深湛线200km/h,middle
C 6945,江门,1,0,109,江门线-深湛线200km/h,middle
C 6945,江门,0,1,111,江门线-深湛线200km/h,last
C 6947,广州南,0,1,92,广珠城际线A200km/h,first
C 6947,北滘,1,0,97,广珠城际线A200km/h,middle
C 6947,北滘,0,1,97,广珠城际线A200km/h,middle
C 6947,顺德,1,0,99,广珠城际线A200km/h,middle
C 6947,顺德,0,1,99,广珠城际线A200km/h,middle
C 6947,顺德学院,1,0,102,广珠城际线A200km/h,middle
C 6947,顺德学院,0,1,102,广珠城际线A200km/h,middle
C 6947,容桂,1,0,105,广珠城际线A200km/h,middle
C 6947,容桂,0,1,105,广珠城际线A200km/h,middle
C 6947,南头,1,0,107,广珠城际线A200km/h,middle
C 6947,南头,0,1,107,广珠城际线A200km/h,middle
C 6947,小榄,1,0,110,广珠城际线A200km/h,middle
C 6947,小榄,0,1,110,江门线-深湛线200km/h,middle
C 6947,古镇,1,0,114,江门线-深湛线200km/h,middle
